nome_produto,preco_produto,quantidade_vendida,nome_vendedor,status_vendedor,reputacao_cor,reviews_nota_media,reviews_quantidade_total,reviews_5_estrelas_pct,reviews_4_estrelas_pct,reviews_3_estrelas_pct,reviews_2_estrelas_pct,reviews_1_estrelas_pct,url_produto
Kit Cartucho Hp 938 P/ 9110 9130 9730,"950,25",500,INK LASER INFO,MercadoLíder,Verde,4.6,25,80.0,12.0,0.0,0.0,8.0,https://www.mercadolivre.com.br/kit-cartucho-hp-938-p-9110-9130-9730/p/MLB41877220?pdp_filters=item_id:MLB5120098024#is_advertising=true&searchVariation=MLB41877220&backend_model=search-backend&position=1&search_layout=grid&type=pad&tracking_id=3d0e8d51-fef4-4cdc-9881-25e57f7e4edd&ad_domain=VQCATCORE_LST&ad_position=1&ad_click_id=ODk5ZTM2ZTgtZDExMi00NjExLWEwMGYtNWVkZTQyOGNiNWRl
Cartucho HP 45A Preto 51645AL,"292,80",500,ATVENDASONLINE,+100 vendas,Verde,4.9,11,90.91,9.09,0.0,0.0,0.0,https://www.mercadolivre.com.br/cartucho-hp-45a-preto-51645al/p/MLB36750942?pdp_filters=item_id:MLB4028471665#is_advertising=true&searchVariation=MLB36750942&backend_model=search-backend&position=2&search_layout=grid&type=pad&tracking_id=3d0e8d51-fef4-4cdc-9881-25e57f7e4edd&ad_domain=VQCATCORE_LST&ad_position=2&ad_click_id=OWM0M2IxMzEtOThmOC00M2I5LThiYzAtM2JjZjE5NzFiMWJi
Kit Cartuchos Tinta Original Hp 954xl 7740 8710 - 04 Cores,"1499,90",50,Tec Print,+100mil vendas,Verde,4.6,19,78.95,15.79,0.0,0.0,5.26,https://produto.mercadolivre.com.br/MLB-2642010384-kit-cartuchos-tinta-original-hp-954xl-7740-8710-04-cores-_JM#is_advertising=true&backend_model=search-backend&position=19&search_layout=grid&type=pad&tracking_id=3d0e8d51-fef4-4cdc-9881-25e57f7e4edd&ad_domain=VQCATCORE_LST&ad_position=19&ad_click_id=YzFiNzNmYjQtNDg0Yy00NDYxLWI5MjAtNDBkNGI5MTAxMDdm
Cartuchos Hp 21 E 22 Para Deskjet F4180 D2360 J3680 D2460,"189,21",25,clca,+1000 vendas,Verde,5.0,2,100.0,0.0,0.0,0.0,0.0,https://produto.mercadolivre.com.br/MLB-4487231388-cartuchos-hp-21-e-22-para-deskjet-f4180-d2360-j3680-d2460-_JM#is_advertising=true&backend_model=search-backend&position=10&search_layout=grid&type=pad&tracking_id=3d0e8d51-fef4-4cdc-9881-25e57f7e4edd&ad_domain=VQCATCORE_LST&ad_position=10&ad_click_id=ODIxNjg5NjAtN2ViYS00ZWY0LWJjMDUtZDBiNWIxYjM4ZDA2
Kit 3 Cartucho De Tinta Original Color Hp 954 8210 8720 8730,"599,94",3,Tec Print,+100mil vendas,Verde,0.0,0,,,,,,https://produto.mercadolivre.com.br/MLB-5276481494-kit-3-cartucho-de-tinta-original-color-hp-954-8210-8720-8730-_JM#is_advertising=true&backend_model=search-backend&position=21&search_layout=grid&type=pad&tracking_id=3d0e8d51-fef4-4cdc-9881-25e57f7e4edd&ad_domain=VQCATCORE_LST&ad_position=21&ad_click_id=NzYxZDAxMGQtZjY3YS00ZTQyLWFjMjktN2M2M2IwMzVjYWZj
Kit Cartuchos 4 Cores Hp 711 P/ T120 T520 24-t520 36,"1399,08",100,INK LASER INFO,MercadoLíder,Verde,4.9,18,94.44,0.0,5.56,0.0,0.0,https://www.mercadolivre.com.br/kit-cartuchos-4-cores-hp-711-p-t120-t520-24t520-36/up/MLBU1744896939?pdp_filters=item_id:MLB3307740166#is_advertising=true&searchVariation=MLBU1744896939&backend_model=search-backend&position=20&search_layout=grid&type=pad&tracking_id=3d0e8d51-fef4-4cdc-9881-25e57f7e4edd&ad_domain=VQCATCORE_LST&ad_position=20&ad_click_id=OWYzNWZiYzQtMDE5ZS00ODgwLWFkZDUtNGYwZTA0ZDBkZjA0
Kit Cartuchos Tinta Original Hp 954xl 7740 8710 - 04 Cores,"1399,90",100,Tec Print,+100mil vendas,Verde,4.6,19,78.95,15.79,0.0,0.0,5.26,https://produto.mercadolivre.com.br/MLB-2641991276-kit-cartuchos-tinta-original-hp-954xl-7740-8710-04-cores-_JM#is_advertising=true&backend_model=search-backend&position=12&search_layout=grid&type=pad&tracking_id=3d0e8d51-fef4-4cdc-9881-25e57f7e4edd&ad_domain=VQCATCORE_LST&ad_position=12&ad_click_id=MDA1MmM2M2MtOGU0NC00NTUzLWEzZDAtODA3MDJhMDEzYTk0
Kit 03 Cartucho Tinta Original Hp 964xl 964 Xl 9010 9020,"499,90",2,GOMESHAROLDO20230628152423,+100 vendas,Verde,0.0,0,,,,,,https://produto.mercadolivre.com.br/MLB-5538247282-kit-03-cartucho-tinta-original-hp-964xl-964-xl-9010-9020-_JM#is_advertising=true&backend_model=search-backend&position=11&search_layout=grid&type=pad&tracking_id=3d0e8d51-fef4-4cdc-9881-25e57f7e4edd&ad_domain=VQCATCORE_LST&ad_position=11&ad_click_id=MmZjZGM1ODktOWMwMi00M2NhLWFiMmMtZjYyZTcwZDBlNzQy
Kit Cartucho De Tinta Hp 122 Preto + Colorido,"214,90",500,CASAPRINT SPEED,MercadoLíder,Verde,4.9,12,91.67,8.33,0.0,0.0,0.0,https://www.mercadolivre.com.br/kit-cartucho-de-tinta-hp-122-preto-colorido/p/MLB42247285?pdp_filters=item_id:MLB4131255505#is_advertising=true&searchVariation=MLB42247285&backend_model=search-backend&position=3&search_layout=grid&type=pad&tracking_id=3d0e8d51-fef4-4cdc-9881-25e57f7e4edd&ad_domain=VQCATCORE_LST&ad_position=3&ad_click_id=YWFhZWRjNmQtOWM2NS00ZTgzLWEyMDMtODE0MTQ5MWQ1MTVk
2 Cartuchos 664 Preto Black Impressora Hp Deskjet,"139,90",1000,OBERO INFORMATICA,MercadoLíder,Verde,4.7,4,86.55,7.24,2.23,0.82,3.16,https://www.mercadolivre.com.br/2-cartuchos-664-preto-black-impressora-hp-deskjet/p/MLB36779932#polycard_client=search-nordic&search_layout=grid&position=15&type=product&tracking_id=3d0e8d51-fef4-4cdc-9881-25e57f7e4edd&wid=MLB4678624598&sid=search
2 Cartuchos Hp 662 Preto E Colorido Da 2516 3516 1516 2546,"148,63",1000,SCOTCH,MercadoLíder,Verde,4.7,153,88.24,4.58,2.61,1.96,2.61,https://www.mercadolivre.com.br/2-cartuchos-hp-662-preto-e-colorido-da-2516-3516-1516-2546/p/MLB36931834#polycard_client=search-nordic&search_layout=grid&position=27&type=product&tracking_id=3d0e8d51-fef4-4cdc-9881-25e57f7e4edd&wid=MLB4094444825&sid=search
Cartucho 72 Original Hp C9371a Ciano - 130ml,"569,88",50,CASAPRINT SPEED,MercadoLíder,Verde,0.0,0,,,,,,https://www.mercadolivre.com.br/cartucho-72-original-hp-c9371a-ciano-130ml/p/MLB36750728#polycard_client=search-nordic&search_layout=grid&position=18&type=product&tracking_id=3d0e8d51-fef4-4cdc-9881-25e57f7e4edd&wid=MLB3896761507&sid=search
Cartucho de Plotter HP 711 CZ133AB Color Preto,"519,47",1000,OBERO INFORMATICA,MercadoLíder,Verde,4.8,32,93.75,0.0,3.12,0.0,3.12,https://www.mercadolivre.com.br/cartucho-de-plotter-hp-711-cz133ab-color-preto/p/MLB37152290#polycard_client=search-nordic&search_layout=grid&position=43&type=product&tracking_id=3d0e8d51-fef4-4cdc-9881-25e57f7e4edd&wid=MLB3841613217&sid=search
Cartucho De Tinta 712 Preto 80ml Hp T210 T250 T650,"419,53",1000,OBERO INFORMATICA,MercadoLíder,Verde,4.9,71,91.55,4.23,2.82,1.41,0.0,https://www.mercadolivre.com.br/cartucho-de-tinta-712-preto-80ml-hp-t210-t250-t650/p/MLB22536214#polycard_client=search-nordic&search_layout=grid&position=17&type=product&tracking_id=3d0e8d51-fef4-4cdc-9881-25e57f7e4edd&wid=MLB5046810704&sid=search
